blue,-1.5,0,0,0,0,0
blue,-1.5,5,0,0,0,0
blue,-1.5,10,0,0,0,0
blue,-1.5,15,0,0,0,0
blue,-1.5,20,0,0,0,0
blue,-1.5,25,0,0,0,0
blue,-1.5,30,0,0,0,0
blue,-1.5,35,0,0,0,0
blue,-1.5,40,0,0,0,0
blue,-1.5,45,0,0,0,0
blue,-1.5,50,0,0,0,0
blue,-1.5,55,0,0,0,0
blue,-1.5,60,0,0,0,0
blue,-1.5,65,0,0,0,0
blue,-1.5,70,0,0,0,0
blue,-1.5,75,0,0,0,0
yellow,1.5,0,0,0,0,0
yellow,1.5,5,0,0,0,0
yellow,1.5,10,0,0,0,0
yellow,1.5,15,0,0,0,0
yellow,1.5,20,0,0,0,0
yellow,1.5,25,0,0,0,0
yellow,1.5,30,0,0,0,0
yellow,1.5,35,0,0,0,0
yellow,1.5,40,0,0,0,0
yellow,1.5,45,0,0,0,0
yellow,1.5,50,0,0,0,0
yellow,1.5,55,0,0,0,0
yellow,1.5,60,0,0,0,0
yellow,1.5,65,0,0,0,0
yellow,1.5,70,0,0,0,0
yellow,1.5,75,0,0,0,0
big_orange,-1.5,-1,0,0,0,0
big_orange,1.5,-1,0,0,0,0
big_orange,-1.5,76,0,0,0,0
big_orange,1.5,76,0,0,0,0
